,HT,AT,AHG,AAG,AHGA,AAGA,HAS,HDS,AAS,ADS,HPG,APG,Prob,Pred
0,New England Revolution,Chicago Fire,1.3529411764705883,1.0555555555555556,1.1176470588235294,1.7222222222222223,0.760373917008664,0.8823529411764707,0.8333333333333334,0.9679155900086133,1.3095328570704767,0.9313725490196079,0.13359639153292646,2.0
1,Real Salt Lake,New York Red Bulls,1.8333333333333333,1.5,0.8888888888888888,2.0,1.0303617571059431,0.7017543859649122,1.1842105263157896,1.124031007751938,2.0607235142118863,1.0526315789473684,0.13536191061412728,2.0
2,FC Dallas,Montreal Impact,2.2222222222222223,1.411764705882353,0.8888888888888888,2.235294117647059,1.2489233419465977,0.7017543859649122,1.1145510835913315,1.2562699498404013,2.7917109996453364,0.9907120743034056,0.14592862083799024,2.0
3,Toronto FC,New York City FC,1.9444444444444444,0.0,1.5,0.0,1.092807924203273,1.1842105263157896,0.0,0.0,0.0,0.0,0.2511044288260207,2.0
4,Atlanta United,FC Cincinnati,2.0,1.0,0.8,2.3333333333333335,1.124031007751938,0.6315789473684211,0.7894736842105263,1.3113695090439277,2.6227390180878554,0.6315789473684211,0.1329522598983929,2.0
5,San Jose Earthquakes,Minnesota United,1.8888888888888888,1.4444444444444444,1.2222222222222223,1.7222222222222223,1.061584840654608,0.9649122807017545,1.1403508771929824,0.9679155900086133,1.828285003349603,1.3937621832358675,0.21019687431630668,2.0
6,Sporting Kansas City ,Houston Dynamo,0.0,1.0588235294117647,0.0,2.3529411764705883,0.0,0.0,0.8359133126934986,1.322389420884633,0.0,0.0,0.2511044288260207,2.0
7,Colorado Rapids,Orlando City,2.1176470588235294,1.0588235294117647,1.7058823529411764,1.3529411764705883,1.1901504787961696,1.346749226006192,0.8359133126934986,0.760373917008664,1.6102035889595236,1.4259697687124386,0.2593325555261103,2.0
8,Seattle Sounders,Columbus Crew,2.0952380952380953,1.0588235294117647,1.2380952380952381,1.4705882352941178,1.1775562938353636,0.9774436090225564,0.8359133126934986,0.8264933880528956,1.7317004321108291,1.0349402919062363,0.13236097387524895,2.0
9,Los Angeles Galaxy,Vancouver Whitecaps,2.1176470588235294,1.2352941176470589,1.4705882352941178,2.1176470588235294,1.1901504787961696,1.1609907120743035,0.9752321981424149,1.1901504787961696,2.520318660980124,1.434164997268257,0.16684205160086302,2.0
